product_id,product_name,category,brand,price,stock
1,T-Shirt,Clothing,Puma,18278.54,496
2,Sofa,Home,Puma,12034.51,401
3,Jacket,Clothing,HP,28563.93,393
4,Magazine,Books,HP,40862.87,70
5,Headphones,Electronics,IKEA,27771.58,433
6,Tablet,Electronics,Sony,8099.59,262
7,Novel,Books,Samsung,11179.7,178
8,Novel,Books,Nike,18760.68,41
9,Shirt,Clothing,Sony,5044.25,171
10,Shirt,Clothing,Oxford,41505.1,71
11,Magazine,Books,Sony,24138.75,110
12,Novel,Books,Adidas,11958.25,122
13,Novel,Books,Penguin,45266.83,8
14,Jeans,Clothing,Adidas,178.06,292
15,Shirt,Clothing,IKEA,18094.13,278
16,Headphones,Electronics,HP,2272.37,191
17,Tablet,Electronics,Apple,17305.64,321
18,Table,Home,Penguin,27346.09,89
19,Magazine,Books,Puma,40593.73,397
20,Tablet,Electronics,HP,39576.35,161
21,Magazine,Books,Samsung,37689.22,182
22,Fan,Home,Puma,18464.16,380
23,Notebook,Books,IKEA,24860.54,473
24,Chair,Home,Sony,4038.46,421
25,Fan,Home,Philips,16463.2,228
26,Dictionary,Books,Nike,17642.19,445
27,Notebook,Books,Penguin,39594.74,343
28,Notebook,Books,Sony,37519.91,15
29,Novel,Books,Adidas,11876.17,185
30,Mobile,Electronics,Apple,47446.29,390
31,Jacket,Clothing,Samsung,32513.08,58
32,T-Shirt,Clothing,HP,45685.77,396
33,Dictionary,Books,Dell,14350.29,251
34,Mobile,Electronics,Apple,22656.93,227
35,Fan,Home,Sony,27544.86,153
36,Jacket,Clothing,Dell,6155.99,71
37,Novel,Books,Sony,28656.64,282
38,Laptop,Electronics,Adidas,49979.79,269
39,Novel,Books,Penguin,15919.68,238
40,Table,Home,Sony,39035.12,93
41,Novel,Books,Nike,25953.3,82
42,Jacket,Clothing,HP,25993.0,40
43,Jacket,Clothing,Penguin,15210.95,257
44,Jeans,Clothing,Philips,31261.51,172
